store,title,validUntil,image,price,oldPrice,loyaltyRequired,storeSize,description,discountInfo,productBrand,discountDescription
"Rimi","Tual. pop. Grite Family, 8rit.,3sl.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_767014_PCE_LT","1.32","2.65","true","","0,33 €/vnt.","-50%","","0,17 €/vnt."
"Rimi","Tualet. popierius GRITE BLOSSOM, 8 rit., 3 sl","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7150657_PCE_LT","2.39","4.79","true","","0,60 €/vnt.","-50%","","0,30 €/vnt."
"Rimi","Liesa VILKYŠKIŲ varškė, 0,5 %, 180 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_276597_PCE_LT","0.99","1.15","false","","5,50 €/kg","","",""
"Rimi","Vanilinis cukrus, 16g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_149478_PCE_LT","0.25","0.37","true","","23,12 €/kg","","","15,62 €/kg"
"Rimi","Pop. rankšluoščiai RIMI, 3 sl. 300 lap.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816257_PCE_LT","1.89","3.79","true","","3,79 €/vnt.","-50%","","1,89 €/vnt."
"Rimi","Pop. rank. RIMI AVOCADO, 3 sl. 200 lap.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_816255_PCE_LT","1.74","3.49","true","","3,49 €/vnt.","-50%","","1,74 €/vnt."
"Rimi","Drėgnas tualet. popier. RIMI Sensitive,60vnt.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_814187_PCE_LT","0.99","1.99","true","","0,03 €/vnt.","-50%","","0,02 €/vnt."
"Rimi","Vienkartinės nosinaitės 10 vnt., 4 sl., RIMI","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_815900_PCE_LT","0.77","1.55","true","","0,16 €/vnt.","-50%","","0,08 €/vnt."
"Rimi","Š. rūk. pjaust. atl. lašišos filė RIMI, 100 g","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_810344_PCE_LT","2.69","3.79","true","","37,90 €/kg","","","26,90 €/kg"
"Rimi","Tualetinis popierius ZEWA EVERYDAY, 12 rit.","","https://rimibaltic-res.cloudinary.com/image/upload/b_white,c_limit,dpr_auto,f_auto,h_216,q_1,w_216/d_ecommerce:backend-fallback.png/MAT_7310003_PCE_LT","4.49","8.99","true","","0,75 €/vnt.","-50%","","0,37 €/vnt."
